Id,Pk,Label,Title,Year:int,Minutes:int
tt0081624,tt0081624,Movie,Thodisi Bewafaii,1980,150
tt0081625,tt0081625,Movie,Those Lips Those Eyes,1980,105
tt0081632,tt0081632,Movie,Legend of Tianyun Mountain,1980,126
tt0081633,tt0081633,Movie,Time Bandits,1981,116
tt0081635,tt0081635,Movie,Times Square,1980,111
tt0081641,tt0081641,Movie,The Terrible Couple,1980,106
tt0081648,tt0081648,Movie,Terra e...,1980,113
tt0081651,tt0081651,Movie,Das Traumhaus,1980,113
tt0081654,tt0081654,Movie,Tres mujeres de hoy,1980,100
tt0081656,tt0081656,Movie,Tribute,1980,121
tt0081662,tt0081662,Movie,Zigeunerweisen,1980,144
tt0081665,tt0081665,Movie,Tup-akka-lakko,1980,105
tt0081672,tt0081672,Movie,Täältä tullaan elämä!,1980,118
tt0081678,tt0081678,Movie,A Bad Son,1980,110
tt0081684,tt0081684,Movie,Une robe noire pour un tueur,1981,103
tt0081686,tt0081686,Movie,Une semaine de vacances,1980,102
tt0081690,tt0081690,Movie,Unser kurzes Leben,1981,113
tt0081692,tt0081692,Movie,Men or Not Men,1980,105
tt0081696,tt0081696,Movie,Urban Cowboy,1980,132
tt0081698,tt0081698,Movie,Used Cars,1980,113
tt0081708,tt0081708,Movie,Verde por Fora Vermelho por Dentro,1980,122
tt0081709,tt0081709,Movie,Erotic Family,1980,107
tt0081711,tt0081711,Movie,Die Verlobte,1980,105
tt0081713,tt0081713,Movie,Viaje al más allá,1980,108
tt0081714,tt0081714,Movie,El vicari d'Olot,1981,101
tt0081721,tt0081721,Movie,Vincent and Me,1990,100
tt0081724,tt0081724,Movie,Desideria,1980,104
tt0081733,tt0081733,Movie,Speed Driver,1980,108
tt0081734,tt0081734,Movie,Foxhunting,1980,107
tt0081743,tt0081743,Movie,Drumul oaselor,1980,116
tt0081747,tt0081747,Movie,When Time Ran Out...,1980,121
tt0081751,tt0081751,Movie,Wholly Moses!,1980,103
tt0081753,tt0081753,Movie,Why Would I Lie?,1980,105
tt0081758,tt0081758,Movie,Willie & Phil,1980,115
tt0081760,tt0081760,Movie,Windwalker,1980,108
tt0081765,tt0081765,Movie,Whitey,1980,106
tt0081773,tt0081773,Movie,Wsciekly,1980,102
tt0081775,tt0081775,Movie,Wyrok smierci,1980,105
tt0081784,tt0081784,Movie,The Happenings,1980,100
tt0081789,tt0081789,Movie,Xia gu ying xiong zhuan,1980,106
tt0081793,tt0081793,Movie,Christmas Evil,1980,100
tt0081796,tt0081796,Movie,Borrowing Matchsticks,1980,100
tt0081799,tt0081799,Movie,Zamach stanu,1980,158
tt0081800,tt0081800,Movie,Zappatore,1980,100
tt0081805,tt0081805,Movie,Zielone lata,1980,102
tt0081806,tt0081806,Movie,Zhong shen da shi,1981,100
tt0081807,tt0081807,Movie,Sugar Honey and Pepper,1980,110
tt0081809,tt0081809,Movie,North Sea Hijack,1980,100
tt0081812,tt0081812,Movie,Tú estás loco Briones,1981,105
tt0081821,tt0081821,Movie,Örökség,1980,105
tt0081881,tt0081881,Movie,Chie the Brat,1981,105
tt0081964,tt0081964,Movie,...All the Marbles,1981,113
tt0081968,tt0081968,Movie,36 Chowringhee Lane,1981,122
tt0081971,tt0081971,Movie,A Q zheng zhuan,1981,125
tt0081974,tt0081974,Movie,Absence of Malice,1981,116
tt0081978,tt0081978,Movie,Acting: Lee Strasberg and the Actors Studio,1981,104
tt0081987,tt0081987,Movie,A Tale of Africa,1980,120
tt0081991,tt0081991,Movie,Rasputin,1981,151
tt0081993,tt0081993,Movie,Help Me Dream,1981,112
tt0081995,tt0081995,Movie,Island of the Evil Spirits,1981,131
tt0082005,tt0082005,Movie,The Amateur,1981,112
tt0082016,tt0082016,Movie,L'amour nu,1981,100
tt0082017,tt0082017,Movie,Amy,1981,100
tt0082020,tt0082020,Movie,The Animals Film,1981,136
tt0082043,tt0082043,Movie,Bad Blood,1981,105
tt0082047,tt0082047,Movie,Barcelona sur,1981,101
tt0082048,tt0082048,Movie,El barrendero,1982,113
tt0082054,tt0082054,Movie,Beau-père,1981,123
tt0082055,tt0082055,Movie,Happy Memories,1981,114
tt0082060,tt0082060,Movie,No Mercy No Future,1981,110
tt0082066,tt0082066,Movie,Apprehension,1982,100
tt0082071,tt0082071,Movie,Bezubaan,1982,137
tt0082072,tt0082072,Movie,The Sword Stained with Royal Blood,1981,104
tt0082073,tt0082073,Movie,Bianco rosso e Verdone,1981,110
tt0082081,tt0082081,Movie,Marianne & Juliane,1981,106
tt0082085,tt0082085,Movie,Blow Out,1981,108
tt0082087,tt0082087,Movie,Der Bockerer,1981,104
tt0082089,tt0082089,Movie,Body Heat,1981,113
tt0082090,tt0082090,Movie,Body and Soul,1981,109
tt0082091,tt0082091,Movie,Boldyn,1982,119
tt0082092,tt0082092,Movie,The Good People of Portugal,1980,127
tt0082095,tt0082095,Movie,The Boat Is Full,1981,101
tt0082096,tt0082096,Movie,Das Boot,1981,149
tt0082100,tt0082100,Movie,The Party,1980,110
tt0082112,tt0082112,Movie,Bukit Kepong,1981,108
tt0082117,tt0082117,Movie,Burning an Illusion,1981,101
tt0082119,tt0082119,Movie,Buscando a Perico,1982,102
tt0082122,tt0082122,Movie,Butterfly,1981,108
tt0082128,tt0082128,Movie,Bankers Also Have Souls,1982,100
tt0082133,tt0082133,Movie,The Emperor Caligula: The Untold Story,1982,125
tt0082155,tt0082155,Movie,Qian wang dou qian ba,1981,100
